rank,school_name,school_type,location,school_code,homepage,food_photo_url,estimated_posts
1,경기게임마이스터고등학교,고등학교,경기도 안양시 동안구 학의로 70,7531377,https://ggm-h.goeay.kr,https://ggm-h.goeay.kr/ggm-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=3097,7
2,수원농생명과학고등학교,고등학교,경기도 수원시 장안구 광교산로 13,7530265,http://sunong-h.goesw.kr,http://sunong-h.goesw.kr/sunong-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=8203,6
3,진성고등학교,고등학교,경기도 광명시 철망산로 84,7530207,https://jinsung-h.goegm.kr,https://jinsung-h.goegm.kr/jinsung-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=4619,5
4,한국경진학교,특수학교,경기도 고양시 일산동구 일산로 341,1342101,https://kj-s.goegy.kr/,https://kj-s.goegy.kr/kj-s/ad/fm/foodmenu/selectFoodMenuView.do?mi=1871,5
5,한국조리과학고등학교,고등학교,경기도 시흥시 금오로 640,7530539,https://kcas-h.goesh.kr/kcas-h/main.do,https://kcas-h.goesh.kr/kcas-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=2700,5
6,함현고등학교,고등학교,경기도 시흥시 역전로 463,7530134,https://hamhyun-h.goesh.kr,https://hamhyun-h.goesh.kr/hamhyun-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=2174,5
7,가평고등학교,고등학교,경기도 가평군 가평읍 호반로 2601,7530633,https://gapyeong-h.goegp.kr,https://gapyeong-h.goegp.kr/gapyeong-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=3365,4
8,과천여자고등학교,고등학교,경기도 과천시 희망길 36,7530145,https://gcwoman-h.goeay.kr/,https://gcwoman-h.goeay.kr/gcwoman-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=5590,4
9,안양외국어고등학교,고등학교,경기도 안양시 만안구 양화로37번길 36,7530187,http://anyangfl-h.goeay.kr,http://anyangfl-h.goeay.kr/anyangfl-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=9332,4
10,연천고등학교,고등학교,경기도 연천군 연천읍 연천로336번길 13,7530579,https://yeoncheon-h.goeyc.kr,https://yeoncheon-h.goeyc.kr/yeoncheon-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=3664,4
11,운정고등학교,고등학교,경기도 파주시 와석순환로 267,7531047,https://unjeong-h.goepj.kr/,https://unjeong-h.goepj.kr/unjeong-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=4086,4
12,수원하이텍고등학교,고등학교,경기도 수원시 영통구 청명북로 56(영통동),7530900,https://sht-h.goesw.kr,https://sht-h.goesw.kr/sht-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=9135,3
13,가산초등학교,초등학교,경기도 포천시 가산면 가산로309번길 25,7711018,http://kasan-e.goepc.kr,http://kasan-e.goepc.kr/kasan-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=2385,2
14,가곡초등학교,초등학교,경기도 남양주시 화도읍 비룡로379번길 3,7652009,https://gagok-e.goegn.kr,https://gagok-e.goegn.kr/gagok-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=5025,2
15,가온초등학교,초등학교,경기도 파주시 가온로 134,7681161,https://pjgaon-e.goepj.kr,https://pjgaon-e.goepj.kr/pjgaon-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=3397,2
16,가람중학교,중학교,경기도 고양시 덕양구 화신로 122,7621011,http://garam-m.goegy.kr/,http://garam-m.goegy.kr/garam-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=24072,2
17,가운중학교,중학교,경기도 남양주시 가운로2길 74,7652170,http://gaun-m.goegn.kr,http://gaun-m.goegn.kr/gaun-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=6621,2
18,가림초등학교,초등학교,경기도 광명시 금당로 11-7,7591014,https://karim-e.goegm.kr/,https://karim-e.goegm.kr/karim-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=2666,2
19,가람초등학교,초등학교,경기도 고양시 덕양구 행신로311번길 78,7621042,https://kggaram-e.goegy.kr/,https://kggaram-e.goegy.kr/kggaram-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=7444,2
20,갈매초등학교,초등학교,경기도 구리시 갈매중앙로 40,7652011,http://galmae-e.goegn.kr,http://galmae-e.goegn.kr/galmae-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=5748,2
21,갈매중학교,중학교,경기도 구리시 갈매순환로 121,7652287,http://galmae-m.goegn.kr,http://galmae-m.goegn.kr/galmae-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=11664,2
22,갈뫼초등학교,초등학교,경기도 의왕시 갈미로 27,7642003,https://galmoecho.goegu.kr,https://galmoecho.goegu.kr/galmoecho/ad/fm/foodmenu/selectFoodMenuView.do?mi=1287,2
23,갈뫼중학교,중학교,경기도 의왕시 갈미로 61,7642035,https://galmoejung.goegu.kr,https://galmoejung.goegu.kr/galmoejung/ad/fm/foodmenu/selectFoodMenuView.do?mi=6440,2
24,갈현초등학교,초등학교,경기도 파주시 탄현면 평화로591번길 76,7681024,https://www.goepj.kr/pgh-e/main.do,https://www.goepj.kr/pgh-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=3998,2
25,강선초등학교,초등학교,경기도 고양시 일산서구 강선로 77,7621043,https://gangseon-e.goegy.kr,https://gangseon-e.goegy.kr/gangseon-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=7208,2
26,검바위초등학교,초등학교,경기도 시흥시 수인로3247번길 59,7781044,https://kumbawi-e.goesh.kr,https://kumbawi-e.goesh.kr/kumbawi-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=3501,2
27,경기대명고등학교,고등학교,경기도 수원시 권선구 수인로598번길 3-24,7530551,https://daemyoung-h.goesw.kr/,https://daemyoung-h.goesw.kr/daemyoung-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=1552,2
28,경기영상과학고등학교,고등학교,경기도 고양시 일산서구 강선로 8,7530943,https://gmsh-h.goegy.kr/,https://gmsh-h.goegy.kr/gmsh-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=2450,2
29,경기체육고등학교,고등학교,경기도 수원시 장안구 상률로 106,7530046,https://ggpe-h.goesw.kr,https://ggpe-h.goesw.kr/ggpe-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=1953,2
30,경기항공고등학교,고등학교,경기도 광명시 새터안로 20,7531382,https://gahs-h.goegm.kr/gahs-h/main.do,https://gahs-h.goegm.kr/gahs-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=5740,2
31,경은학교,특수학교,경기도 남양주시 별내면 송산로 679,7530860,https://gyeongeun-s.goegn.kr/,https://gyeongeun-s.goegn.kr/gyeongeun-s/ad/fm/foodmenu/selectFoodMenuView.do?mi=2423,2
32,경수중학교,중학교,경기도 안산시 상록구 삼일로 678,7611027,https://kyongsu-m.goeas.kr,https://kyongsu-m.goeas.kr/kyongsu-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=10106,2
33,경일초등학교,초등학교,경기도 안산시 상록구 성포로 47,7611035,https://gyeongil-e.goeas.kr/,https://gyeongil-e.goeas.kr/gyeongil-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=12013,2
